YEAR	1	2	3	4	5	6	7	8	9	10	11	12
1978	3	2.2	6.8	7.8	12.9	15.2	16	15.9	13.6	11.4	6.1	3.2
1979	-2.5	0.3	5.2	8.4	12.6	15.6	16.9	16.1	14.4	11.8	5.8	5.7
1980	0.9	5.9	5.4	7.666666667	12.63333333	15.06666667	16.63333333	16.03333333	13.8	11.7	6.1	4.766666667
1981	0.466666667	2.8	5.8	7.955555556	12.71111111	15.28888889	16.51111111	16.01111111	13.93333333	11.63333333	6	4.555555556
1982	1.566666667	3.8	5.8	8.6	13.1	17.2	19	17.9	17.1	11.1	7.8	3.2
1983	5.2	0.6	5.9	9.1	11.2	17	21	19	15.1	10.9	6.4	3.8
1984	3	2.3	4.3	8.8	10.6	14.6	17.2	18.6	13.6	11.2	9.2	4.2
1985	-3.5	-0.2	4.2	8.9	13.8	14.8	18.2	16.6	14.9	10.9	2.5	5.4
1986	2.2	-3.5	4.8	6.7	13.9	17.4	17.9	16.5	11.9	12.1	7.8	4.3
1987	-2.8	1.9	2.8	11.6	10.9	14.6	17.6	17.1	15.8	11.1	5.9	3.8
1988	5.8	4.2	5.4	9.6	14.6	15.4	16.5	17.6	14.4	11.4	5.2	6.7
1989	4.1	4.8	8.8	7.3	15.6	16.2	19.2	18.2	15.9	12.8	5.7	4.8
1990	4.6	7.8	8.4	8.8	15.1	15.6	17.8	19.8	13.1	12.4	5.9	3
1991	3	-0.4	9.1	8.05	10.2	13.5	18.5	18.9	16.2	10.9	5.7	3.6
1992	2.7	4.9	7.1	9.2	15.5	16.8	18.6	18.4	14.5	11.65	7.7	0.4
1993	5.4	2.1	6.5	11.8	14.9	16.7	16.9	15.7	13.7	9.5	0.3	4.9
1994	4.8	2.8	7.4	9.2	12.9	16.2	21.6	17.9	13.9	10.4	10.4	5.4
1995	0.4	6.6	5.8	9.3	13.5	16.45	19.25	20.5	14.4	13.9	7.1	0.9
1996	2.5	1.3	3.9	10.1	10.8	16.4	17.3	17.8	12.8	11.2	5.4	0.6
1997	-0.2	6.4	8.8	8.4	13.4	16.4	17.6	21.2	14.7	10.4	7.3	0.5
1998	4.6	0.6	7.6	9.5	15.4	16.5	16.5	17.1	15.5	9.6	3.7	4.4
1999	5.4	2.8	7.6	10.3	14.8	15.5	19.5	17.9	17.8	10.9	5.5	4.3
2000	3.9	5.6	6.9	10.3	15.2	16.7	15.5	18.3	15.9	11.5	7.8	5.7
2001	3.4	4.8	6.5	8.5	15.1	15.7	18.8	19.2	12.9	14.4	6.2	2.4
2002	4.6	7.1	7.8	9.9	13.6	17.1	17.8	18.6	14.7	10.5	8.6	4.4
2003	2.3	2.8	8.8	10.7	13.9	19.3	19.5	20.4	15.3	7.9	8.3	4.5
2004	3.2	4.95	6.6	11.1	12.8	16.3	17.4	18.9	15.8	11.7	6.4	2.9
2005	4.7	2.4	7.2	10.7	13.4	18.3	18.4	16.8	16.6	14.1	6.1	3.5
2006	1.7	2.3	4.5	9.3	14.2	17.3	23	16.3	18.4	14.2	9.1	5.9
2007	7.2	6.8	8	14.3	14.6	17.5	17.2	17.2	14.1	10.4	6.8	4.1
2008	6.5	6.1	6.3	9.3	16.4	16.1	18	17.6	14	10.5	6.9	2.8
2009	0.7	3.6	6.7	12.5	14.4	16.5	18.7	19.4	15.8	11.3	9.7	2.9
2010	0.1	2.5	6.7	10.3	11.2	17.4	20.5	17	14.2	10.6	6.1	-0.7
2011	4	5.4	7.7	14.1	14.8	16.95	19.6	17.3	16.5	12.1	8.6	6.1
2012	5.1	0.7	8.9	8.4	14.3	15.4	17.3	7.666666667	14.5	11.1	7.35	5.1
2013	2.1	1.4	3	9	11.1	15.8	20.2	18.6	14.8	12.8	6.4	6.1
2014	6.1	6.6	9.3	12.4	13.5	16.5	19.3	16.2	16.5	13.6	8.8	5.6
2015	3.5	3.3	6.6	10.3	13.1	16.5	19	19.4	13.5	10.2	10.1	5.85
2016	4.8	4.5	5.3	8.5	14.2	16	18.3	18.1	17.5	9.7	6.1	4.7
2017	4.15	3.9	9.6	8.8	15.5	16.25	18.3	18.1	14.1	13.3	6.6	4.4
2018	6	0.8	5.4	13	16.3	18.1	22	19.4	15.4	12.6	7.4	5.8
